Name,Address,Latitude,Longitude
KFC Acacia Ridge,"1404 Beaudesert Rd, Acacia Ridge QLD 4110",-27.587525,153.0274054
KFC Albany Creek,"770 Albany Creek Rd, Albany Creek QLD 4035",-27.3453735,152.964313
KFC Annandale,"Shopping Centre, 103-107 MacArthur Dr, Annandale QLD 4814",-19.3167581,146.7924434
KFC Annerley,"12 Chester Rd, Annerley QLD 4103",-27.5151205,153.0309705
KFC Arundel,"236 Napper Rd, Arundel QLD 4214",-27.9469922,153.3511197
KFC Ashmore,"501 Olsen Ave, Southport QLD 4215",-27.9736794,153.3788455
KFC Aspley,"10 Gayford St, Aspley QLD 4034",-27.3614999,153.0167
KFC Beaudesert,"124-130 Brisbane St, Beaudesert QLD 4285",-27.9815315,152.9943974
KFC Beenleigh,"27 James St, Beenleigh QLD 4207",-27.7186694,153.1980352
KFC Benowa,"CNR Benowa and 203 Ashmore Roads, 203 Ashmore Rd, Benowa QLD 4217",-28.0095456,153.3914765
KFC Berrinba,"202 Wayne Goss Dr, Berrinba QLD 4117",-27.6761625,153.0794281
KFC Bethania,"412 Logan River Rd, Bethania QLD 4205",-27.7012913,153.1581463
KFC Birkdale,"112 Birkdale Rd, Birkdale QLD 4159",-27.495144,153.2123753
KFC Booval,"148 Brisbane Rd, Booval QLD 4304",-27.6139858,152.7883949
KFC Brassall,"64/68 Hunter St, Brassall QLD 4305",-27.5972907,152.7459002
KFC Browns Plains,"Grand Plaza Shopping Centre, 52 Browns Plains Rd, Browns Plains QLD 4118",-27.662809,153.041267
KFC Bundamba,"18 Hawkins Cres, Bundamba QLD 4304",-27.5882848,152.819894
KFC Burleigh,"223 Burleigh Connection Rd, Burleigh Waters QLD 4220",-28.1006774,153.4360203
KFC Burpengary,"173 Station Rd, Burpengary QLD 4505",-27.1545908,152.9752478
KFC Cairns,"10 Martyn St, Parramatta Park QLD 4870",-16.9225191,145.7675672
KFC Calamvale,"2605 Beaudesert Road Cnr, Nottingham Rd, Calamvale QLD 4116",-27.6309887,153.0453158
KFC Capalaba,"96 Old Cleveland Rd, Capalaba QLD 4157",-27.5200689,153.1927435
KFC Carindale,"61 Scrub Rd, Carindale QLD 4152",-27.5020258,153.1161688
KFC Centanary,"171 Dandenong Road, 171 Dandanong Road, Mount Ommaney QLD 4074",-27.5481443,152.9379071
KFC Clayfield,"843 Sandgate Rd, Clayfield QLD 4011",-27.4151471,153.0588164
KFC Cleveland,"17 Shore St W, Cleveland QLD 4163",-27.5242751,153.2530326
KFC Coomera FC,"Westfield Coomera, Shop 1076/103 Foxwell Rd, Coomera QLD 4209",-27.8523828,153.3152591
KFC Coomera South,"6 Creek Street, Coomera QLD 4209",-27.8562645,153.3145759
KFC Coorparoo,"200 State Route 22, Coorparoo QLD 4151",-27.496767,153.0541828
KFC Currumbin,"1 Stewart Rd, Currumbin Waters QLD 4223",-28.1462661,153.4765166
KFC Dakabin,"289 Old Gympie Rd, Dakabin QLD 4503",-27.225912,152.9908324
KFC Deagon,"85 Braun St, Deagon QLD 4017",-27.3305975,153.0577593
KFC Deception Bay,"384 Deception Bay Rd, Deception Bay QLD 4508",-27.1904323,153.0193069
KFC Eagleby,"29 River Hills Rd, Eagleby QLD 4207",-27.7010497,153.2004245
KFC Eight Mile Plains,"2433 State Route 95, Eight Mile Plains QLD 4113",-27.5735172,153.0906953
KFC Everton Park,"472 S Pine Rd, Everton Park QLD 4053",-27.4078493,152.9905499
KFC Fairfield,"31 Darcy Dr, Idalia QLD 4811",-19.3143344,146.819688
KFC Garbutt,"231 Ingham Rd, Townsville City QLD 4810",-19.2657958,146.7812309
KFC Gatton,"69 Railway St, Gatton QLD 4343",-27.5591834,152.2757288
KFC Greenslopes,"600 Logan Rd, Greenslopes QLD 4120",-27.5075546,153.0513452
KFC Grovely,"161 Dawson Parade, Keperra QLD 4054",-27.4034379,152.9620588
KFC Helensvale,"20 Siganto Dr, Helensvale QLD 4212",-27.9046851,153.3174147
KFC Hermit Park,"Corner Charters, CNR Charters Towers Road and 1-3 Carr Street, Tower Road, Townsville City QLD 4810",-19.2806622,146.7993282
KFC Inala,"153 Inala Ave, Inala QLD 4077",-27.5967809,152.9741523
KFC Indooroopilly,"322 Moggill Rd, Indooroopilly QLD 4068",-27.499702,152.9730189
KFC Jimboomba,"73-77 Cerina Cct, Jimboomba QLD 4280",-27.836398,153.025279
KFC Kallangur,"1517 Anzac Ave, Kallangur QLD 4503",-27.2497078,152.9995812
KFC Kangaroo Point,"768 Main St, Kangaroo Point QLD 4169",-27.4826649,153.0361524
KFC Karalee,"Karalee Shopping Village, 52 Junction Rd, Karalee QLD 4306",-27.5706702,152.7986118
KFC Kedron,"338 Gympie Road Corner, Strathmore St, Kedron QLD 4031",-27.4041706,153.0314309
KFC Kelvin Grove,"78 Park St, Kelvin Grove QLD 4059",-27.4476834,153.0096094
KFC Keperra,"523 Settlement Rd, Keperra QLD 4054",-27.4184862,152.9482038
KFC Logan Village,"2/30 Logan St, Logan Village QLD 4207",-27.7696421,153.1062461
KFC Loganholme,"59 Bryants Rd, Loganholme QLD 4129",-27.6631535,153.1765742
KFC Macarthur Central,"Food Court, 245 Queen Street MacArthur Central Shopping Centre, Shop L19, Brisbane City QLD 4000",-27.4685258,153.0278365
KFC Marsden,"Unit 2/92 Chambers Flat Rd, Marsden QLD 4132",-27.6821045,153.1136279
KFC Meadowbrook,"Meadowbrook Shopping Village, 2-8 Edenlea Dr, Meadowbrook QLD 4131",-27.6676524,153.1399309
KFC Miami,"CNR 2142 Gold Coast Highway and, Oak Ave, Miami QLD 4220",-28.0640971,153.4380296
KFC Milton,"16 Baroona Rd, Milton QLD 4064",-27.4690709,153.0029302
KFC Morningside,"583 Wynnum Rd, Morningside QLD 4170",-27.4695896,153.0706065
KFC Mt Gravatt,"1830 Logan Rd, Mount Gravatt East QLD 4122",-27.5517546,153.0801099
KFC Nerang,"7 Pappas Way W, Nerang QLD 4211",-28.0081044,153.341648
KFC Northlakes,"2 Mason St, North Lakes QLD 4509",-27.2397004,153.0094541
KFC Ormeau,"7 Eggersdorf Rd, Ormeau QLD 4208",-27.7860098,153.2578124
KFC Oxenford,"14 Leo Graham Way, Oxenford QLD 4210",-27.8899257,153.3116133
KFC Park Ridge,"Centre, 3732/3744 Mount Lindesay Hwy, Park Ridge QLD 4125",-27.6978711,153.0388602
KFC Pimpama,"119 Pimpama Jacobs Well Rd, Pimpama QLD 4209",-27.8136352,153.2911575
KFC Queen Street Mall,"226A Albert St, Brisbane City QLD 4000",-27.4694859,153.0249582
KFC Redbank,"Redbank Plaza Shopping Centre, 1 Collingwood Dr, Redbank QLD 4301",-27.6055825,152.8677964
KFC Redbank Plains,"389 Redbank Plains Rd, Redbank Plains QLD 4301",-27.6457792,152.8706983
KFC Redcliffe,"76 Anzac Ave, Redcliffe QLD 4020",-27.229803,153.1088048
KFC Richlands,"205 Government Rd, Richlands QLD 4077",-27.599725,152.950221
KFC Robina,"118-120 Robina Town Centre Dr, Robina QLD 4226",-28.0809886,153.385635
KFC Runaway Bay,"Runaway shopping centre, 26 Lae Dr, Runaway Bay QLD 4216",-27.9135948,153.4012109
KFC Southport,"41 Ferry Rd, Southport QLD 4215",-27.9752162,153.4097479
KFC Springfield,"1 Main St, Springfield Lakes QLD 4300",-27.6760455,152.9038855
KFC Springfield Parkway,"51 Springfield Pkwy, Springfield QLD 4300",-27.6524646,152.9210137
KFC Springwood,"CNR 3384 Pacific Highway and, Dennis Rd, Springwood QLD 4127",-27.615872,153.1393955
KFC Strathpine,"370 Gympie Rd, Strathpine QLD 4500",-27.3052155,152.9889076
KFC Sunnybank,"31 Mains Rd, Sunnybank QLD 4109",-27.5692838,153.0649402
KFC Surfers Paradise,"Soul, Shop T1.12/14 Esplanade, Surfers Paradise QLD 4217",-28.001611,153.4304446
KFC The Pines,"The Pines, 5 The Pines Shopping Centre Access, Palm Beach QLD 4221",-28.1353673,153.4694594
KFC Thornlands,"154 Boundary Rd, Thornlands QLD 4164",-27.5676245,153.2500346
KFC Tingalpa,"1470 State Route 23, Tingalpa QLD 4173",-27.4742717,153.1218386
KFC Tweed Heads,"112 Minjungbal Dr, Tweed Heads South NSW 2486",-28.2061256,153.5449981
KFC Underwood,"10 Lexington Rd, Underwood QLD 4119",-27.6122416,153.121757
KFC Upper Coomera,"195 Old Coach Rd, Upper Coomera QLD 4209",-27.8537097,153.2992044
KFC Victoria Point,"439-447 Cleveland - Redland Bay Rd, Victoria Point QLD 4165",-27.5843828,153.2811349
KFC Warner,"1185 Old N Rd, Warner QLD 4500",-27.3108989,152.9628373
KFC Windsor,"143 Newmarket Rd, Windsor QLD 4030",-27.4366292,153.023317
KFC Woodridge,"1 Mayes Ave, Logan Central QLD 4114",-27.6415953,153.1094146
KFC Wynnum,"2059-2067 Wynnum Rd, Wynnum QLD 4178",-27.454079,153.1556754
KFC Yamanto,"444 Warwick Rd, Yamanto QLD 4305",-27.6581843,152.7456195
Taco Bell Annerley,"594 Ipswich Rd, Annerley QLD 4103",-27.5147084,153.0309904
Taco Bell Beenleigh,"151 George St, Beenleigh QLD 4207",-27.7163846,153.2065469
Taco Bell Cleveland,"1 Grant St, Cleveland QLD 4163",-27.5241674,153.2525786
Taco Bell Coomera South,"Foxwell Rd, Coomera QLD 4209",-27.8527498,153.3344335
Taco Bell Coorparoo,"208 Old Cleveland Rd, Coorparoo QLD 4151",-27.4967498,153.054188
Taco Bell East Ipswich,"70 Brisbane Rd, East Ipswich QLD 4305",-27.6128434,152.7806682
Taco Bell Eatons Hill,"Shopping Centre, Bunya Park Drive Eatons Hill Village, Brendale QLD 4500",-27.3381648,152.9615236
Taco Bell Keperra,"523 Settlement Rd, Keperra QLD 4054",-27.4184862,152.9482038
Taco Bell Logan Central,"26 Wembley Rd, Logan Central QLD 4114",-27.6425244,153.1156207
Taco Bell Morayfield,"182-190 Morayfield Rd, Morayfield QLD 4506",-27.1047054,152.9467958
Taco Bell North Lakes,"144 Diamond Jubilee Way, North Lakes QLD 4509",-27.2147634,152.9992955
Taco Bell Robina,"130 Robina Town Centre Dr, Robina QLD 4226",-28.0807964,153.3845737
Taco Bell Southport,"80 Ferry Rd, Southport QLD 4215",-27.9775592,153.4116913
Taco Bell Underwood,"10 Lexington Rd, Underwood QLD 4119",-27.6122416,153.121757